T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26
consensus,discuss,emotion,cohesion,consensus,emotion,monitor,plan,plan,consensus,plan,emotion,cohesion,consensus,plan,plan,consensus,discuss,consensus,plan,consensus,monitor,,,,
consensus,cohesion,consensus,plan,emotion,consensus,discuss,discuss,synthesis,,,,,,,,,,,,,,,,,
discuss,consensus,discuss,synthesis,consensus,plan,plan,,,,,,,,,,,,,,,,,,,
cohesion,emotion,coregulate,emotion,cohesion,consensus,plan,consensus,consensus,coregulate,emotion,discuss,consensus,discuss,consensus,discuss,consensus,discuss,,,,,,,,
emotion,cohesion,consensus,plan,plan,plan,plan,consensus,plan,discuss,consensus,plan,consensus,discuss,emotion,plan,plan,,,,,,,,,
plan,cohesion,consensus,plan,consensus,discuss,consensus,coregulate,discuss,consensus,plan,monitor,plan,emotion,coregulate,plan,plan,,,,,,,,,
consensus,consensus,coregulate,plan,emotion,cohesion,emotion,consensus,plan,emotion,consensus,discuss,cohesion,consensus,coregulate,monitor,discuss,,,,,,,,,
consensus,plan,plan,plan,consensus,plan,emotion,consensus,emotion,cohesion,consensus,discuss,consensus,plan,emotion,consensus,plan,plan,plan,plan,,,,,,
consensus,coregulate,emotion,,,,,,,,,,,,,,,,,,,,,,,
consensus,monitor,plan,consensus,plan,consensus,plan,cohesion,consensus,coregulate,monitor,plan,cohesion,plan,consensus,discuss,discuss,consensus,,,,,,,,
discuss,consensus,coregulate,plan,consensus,plan,plan,consensus,consensus,coregulate,plan,monitor,discuss,consensus,plan,emotion,consensus,consensus,plan,consensus,plan,monitor,discuss,cohesion,,
discuss,consensus,plan,consensus,discuss,emotion,consensus,discuss,consensus,coregulate,synthesis,emotion,,,,,,,,,,,,,,
discuss,consensus,coregulate,cohesion,plan,consensus,coregulate,discuss,,,,,,,,,,,,,,,,,,
plan,emotion,consensus,,,,,,,,,,,,,,,,,,,,,,,
emotion,plan,plan,emotion,cohesion,plan,plan,emotion,discuss,discuss,consensus,monitor,plan,plan,consensus,coregulate,plan,cohesion,consensus,discuss,consensus,discuss,emotion,plan,emotion,cohesion
consensus,monitor,discuss,consensus,plan,emotion,consensus,consensus,plan,plan,plan,plan,plan,emotion,consensus,plan,monitor,discuss,consensus,coregulate,,,,,,
emotion,emotion,cohesion,,,,,,,,,,,,,,,,,,,,,,,
monitor,discuss,consensus,plan,plan,consensus,plan,plan,consensus,coregulate,discuss,discuss,consensus,plan,monitor,plan,consensus,plan,emotion,,,,,,,
discuss,consensus,coregulate,discuss,,,,,,,,,,,,,,,,,,,,,,
discuss,synthesis,discuss,consensus,plan,plan,consensus,consensus,,,,,,,,,,,,,,,,,,
plan,plan,plan,consensus,plan,emotion,consensus,coregulate,plan,consensus,emotion,consensus,emotion,consensus,discuss,consensus,discuss,consensus,discuss,,,,,,,
emotion,discuss,adapt,consensus,coregulate,discuss,discuss,consensus,plan,consensus,plan,cohesion,plan,consensus,plan,emotion,discuss,discuss,consensus,emotion,cohesion,,,,,
monitor,discuss,emotion,discuss,consensus,plan,consensus,,,,,,,,,,,,,,,,,,,
discuss,discuss,consensus,discuss,consensus,coregulate,emotion,consensus,discuss,discuss,discuss,discuss,emotion,cohesion,consensus,discuss,discuss,,,,,,,,,
emotion,cohesion,consensus,emotion,cohesion,emotion,consensus,plan,monitor,discuss,consensus,consensus,plan,emotion,cohesion,discuss,adapt,consensus,emotion,consensus,discuss,consensus,monitor,plan,,
consensus,plan,emotion,cohesion,cohesion,consensus,synthesis,,,,,,,,,,,,,,,,,,,
consensus,plan,consensus,plan,emotion,plan,emotion,cohesion,,,,,,,,,,,,,,,,,,
emotion,monitor,emotion,cohesion,coregulate,,,,,,,,,,,,,,,,,,,,,
plan,synthesis,consensus,,,,,,,,,,,,,,,,,,,,,,,
plan,plan,consensus,plan,,,,,,,,,,,,,,,,,,,,,,
discuss,cohesion,consensus,discuss,cohesion,plan,consensus,cohesion,plan,,,,,,,,,,,,,,,,,
plan,monitor,plan,plan,consensus,plan,consensus,,,,,,,,,,,,,,,,,,,
discuss,consensus,plan,,,,,,,,,,,,,,,,,,,,,,,
monitor,discuss,consensus,plan,emotion,consensus,,,,,,,,,,,,,,,,,,,,
plan,plan,,,,,,,,,,,,,,,,,,,,,,,,
emotion,emotion,cohesion,emotion,cohesion,consensus,plan,,,,,,,,,,,,,,,,,,,
consensus,plan,plan,emotion,consensus,monitor,plan,consensus,emotion,,,,,,,,,,,,,,,,,
plan,plan,plan,plan,plan,emotion,consensus,plan,plan,plan,plan,consensus,discuss,consensus,coregulate,emotion,cohesion,consensus,plan,discuss,discuss,synthesis,,,,
emotion,cohesion,cohesion,monitor,discuss,emotion,coregulate,consensus,emotion,cohesion,consensus,coregulate,,,,,,,,,,,,,,
emotion,consensus,consensus,cohesion,consensus,coregulate,plan,plan,emotion,cohesion,consensus,coregulate,consensus,coregulate,discuss,coregulate,discuss,consensus,discuss,synthesis,adapt,consensus,,,,
emotion,cohesion,cohesion,consensus,plan,plan,,,,,,,,,,,,,,,,,,,,
discuss,synthesis,discuss,discuss,cohesion,discuss,adapt,discuss,,,,,,,,,,,,,,,,,,
plan,emotion,consensus,,,,,,,,,,,,,,,,,,,,,,,
discuss,consensus,consensus,discuss,coregulate,discuss,synthesis,consensus,discuss,coregulate,emotion,cohesion,consensus,coregulate,emotion,emotion,cohesion,consensus,plan,,,,,,,
plan,consensus,plan,consensus,coregulate,emotion,discuss,emotion,consensus,coregulate,plan,consensus,plan,consensus,plan,plan,emotion,consensus,,,,,,,,
discuss,coregulate,discuss,consensus,discuss,discuss,consensus,plan,emotion,consensus,plan,consensus,,,,,,,,,,,,,,
monitor,emotion,cohesion,coregulate,consensus,plan,consensus,discuss,discuss,consensus,plan,plan,consensus,consensus,discuss,coregulate,discuss,consensus,,,,,,,,
monitor,plan,cohesion,emotion,plan,discuss,monitor,discuss,consensus,plan,discuss,coregulate,consensus,emotion,discuss,discuss,monitor,,,,,,,,,
adapt,emotion,cohesion,discuss,discuss,consensus,consensus,emotion,discuss,plan,monitor,emotion,coregulate,monitor,discuss,consensus,discuss,,,,,,,,,
emotion,cohesion,consensus,plan,plan,consensus,plan,consensus,discuss,emotion,consensus,plan,,,,,,,,,,,,,,
consensus,plan,plan,emotion,coregulate,emotion,consensus,,,,,,,,,,,,,,,,,,,
consensus,coregulate,plan,plan,discuss,discuss,consensus,plan,consensus,consensus,coregulate,emotion,consensus,discuss,,,,,,,,,,,,
cohesion,consensus,plan,cohesion,consensus,monitor,consensus,discuss,coregulate,emotion,consensus,plan,plan,consensus,plan,emotion,cohesion,cohesion,emotion,cohesion,plan,emotion,,,,
plan,plan,coregulate,plan,plan,cohesion,coregulate,consensus,plan,consensus,plan,emotion,consensus,discuss,consensus,plan,consensus,emotion,cohesion,coregulate,synthesis,consensus,coregulate,,,
plan,plan,plan,consensus,discuss,consensus,plan,monitor,emotion,discuss,emotion,discuss,consensus,plan,emotion,plan,consensus,discuss,emotion,cohesion,consensus,plan,,,,
discuss,consensus,plan,consensus,plan,plan,plan,cohesion,plan,emotion,,,,,,,,,,,,,,,,
plan,coregulate,emotion,cohesion,consensus,discuss,consensus,plan,,,,,,,,,,,,,,,,,,
plan,discuss,consensus,plan,plan,consensus,emotion,discuss,consensus,emotion,cohesion,consensus,discuss,discuss,,,,,,,,,,,,
consensus,coregulate,monitor,consensus,discuss,consensus,discuss,synthesis,plan,consensus,plan,plan,plan,plan,emotion,cohesion,consensus,plan,plan,consensus,emotion,consensus,,,,
discuss,synthesis,consensus,coregulate,discuss,synthesis,cohesion,discuss,discuss,monitor,discuss,consensus,adapt,emotion,monitor,discuss,coregulate,plan,plan,consensus,coregulate,consensus,plan,plan,,
emotion,coregulate,emotion,monitor,consensus,coregulate,monitor,discuss,discuss,consensus,discuss,adapt,consensus,discuss,consensus,discuss,coregulate,plan,discuss,synthesis,plan,plan,plan,,,
cohesion,coregulate,emotion,discuss,consensus,emotion,cohesion,consensus,plan,emotion,emotion,,,,,,,,,,,,,,,
consensus,plan,coregulate,emotion,consensus,consensus,discuss,consensus,coregulate,discuss,synthesis,plan,,,,,,,,,,,,,,
emotion,emotion,consensus,plan,consensus,emotion,consensus,coregulate,plan,plan,consensus,plan,plan,plan,monitor,discuss,synthesis,consensus,plan,discuss,consensus,,,,,
consensus,coregulate,discuss,consensus,coregulate,plan,discuss,emotion,consensus,plan,emotion,consensus,monitor,plan,plan,consensus,plan,emotion,discuss,consensus,emotion,consensus,,,,
emotion,consensus,discuss,consensus,plan,consensus,plan,consensus,coregulate,discuss,consensus,plan,monitor,coregulate,consensus,plan,,,,,,,,,,
emotion,coregulate,consensus,emotion,discuss,consensus,discuss,consensus,discuss,coregulate,plan,consensus,,,,,,,,,,,,,,
discuss,synthesis,,,,,,,,,,,,,,,,,,,,,,,,
discuss,discuss,synthesis,consensus,plan,monitor,synthesis,plan,plan,consensus,plan,plan,consensus,plan,consensus,plan,plan,plan,emotion,consensus,coregulate,,,,,
monitor,plan,consensus,,,,,,,,,,,,,,,,,,,,,,,
emotion,consensus,consensus,plan,monitor,discuss,emotion,consensus,discuss,consensus,coregulate,emotion,consensus,monitor,,,,,,,,,,,,
adapt,cohesion,consensus,discuss,coregulate,plan,consensus,discuss,consensus,plan,consensus,plan,plan,monitor,synthesis,cohesion,consensus,plan,plan,plan,emotion,,,,,
consensus,plan,consensus,plan,consensus,plan,consensus,plan,consensus,coregulate,plan,emotion,cohesion,consensus,plan,consensus,emotion,consensus,coregulate,plan,plan,plan,,,,
plan,consensus,consensus,coregulate,consensus,monitor,plan,plan,consensus,consensus,plan,emotion,consensus,coregulate,discuss,discuss,,,,,,,,,,
synthesis,consensus,discuss,discuss,consensus,monitor,discuss,consensus,plan,plan,discuss,synthesis,adapt,emotion,plan,emotion,discuss,discuss,discuss,discuss,consensus,emotion,monitor,,,
cohesion,monitor,emotion,consensus,discuss,consensus,discuss,consensus,coregulate,discuss,consensus,consensus,consensus,plan,consensus,plan,monitor,discuss,synthesis,consensus,discuss,synthesis,adapt,,,
monitor,consensus,emotion,consensus,consensus,plan,monitor,discuss,consensus,coregulate,discuss,discuss,discuss,cohesion,consensus,plan,consensus,,,,,,,,,
emotion,consensus,discuss,consensus,plan,discuss,discuss,discuss,cohesion,consensus,consensus,consensus,plan,cohesion,plan,emotion,plan,plan,monitor,consensus,plan,plan,,,,
monitor,consensus,discuss,consensus,discuss,consensus,plan,plan,consensus,discuss,consensus,plan,emotion,cohesion,plan,emotion,discuss,synthesis,consensus,plan,emotion,cohesion,emotion,cohesion,discuss,
consensus,coregulate,discuss,monitor,discuss,adapt,consensus,discuss,consensus,plan,monitor,monitor,cohesion,,,,,,,,,,,,,
plan,discuss,emotion,consensus,discuss,consensus,coregulate,emotion,discuss,discuss,cohesion,,,,,,,,,,,,,,,
emotion,cohesion,cohesion,plan,discuss,consensus,plan,plan,emotion,emotion,discuss,cohesion,consensus,plan,emotion,plan,consensus,discuss,discuss,discuss,plan,,,,,
consensus,discuss,coregulate,emotion,consensus,coregulate,plan,plan,consensus,emotion,cohesion,coregulate,monitor,cohesion,consensus,emotion,,,,,,,,,,
emotion,consensus,discuss,synthesis,adapt,consensus,plan,consensus,consensus,plan,plan,plan,consensus,plan,consensus,cohesion,coregulate,discuss,discuss,adapt,consensus,plan,coregulate,cohesion,discuss,consensus
consensus,plan,consensus,coregulate,plan,consensus,,,,,,,,,,,,,,,,,,,,
emotion,consensus,discuss,discuss,synthesis,consensus,plan,,,,,,,,,,,,,,,,,,,
discuss,consensus,discuss,discuss,emotion,cohesion,plan,plan,plan,monitor,consensus,coregulate,discuss,consensus,plan,,,,,,,,,,,
cohesion,cohesion,coregulate,plan,emotion,cohesion,,,,,,,,,,,,,,,,,,,,
consensus,coregulate,plan,,,,,,,,,,,,,,,,,,,,,,,
discuss,cohesion,consensus,coregulate,monitor,adapt,emotion,consensus,plan,consensus,emotion,plan,consensus,coregulate,monitor,discuss,discuss,consensus,plan,plan,plan,monitor,cohesion,consensus,discuss,consensus
discuss,synthesis,adapt,cohesion,consensus,discuss,monitor,coregulate,discuss,synthesis,consensus,plan,plan,plan,cohesion,emotion,emotion,cohesion,consensus,plan,consensus,,,,,
plan,emotion,consensus,emotion,discuss,consensus,plan,plan,consensus,,,,,,,,,,,,,,,,,
consensus,discuss,discuss,discuss,cohesion,plan,consensus,coregulate,emotion,cohesion,plan,,,,,,,,,,,,,,,
synthesis,consensus,consensus,cohesion,consensus,plan,emotion,cohesion,consensus,plan,emotion,cohesion,consensus,discuss,consensus,discuss,consensus,emotion,,,,,,,,
monitor,discuss,discuss,consensus,discuss,discuss,consensus,discuss,monitor,plan,consensus,emotion,,,,,,,,,,,,,,
monitor,plan,emotion,consensus,plan,plan,consensus,discuss,cohesion,consensus,coregulate,emotion,consensus,coregulate,plan,plan,emotion,consensus,cohesion,consensus,coregulate,discuss,,,,
consensus,plan,emotion,consensus,discuss,synthesis,consensus,emotion,discuss,monitor,emotion,consensus,coregulate,discuss,coregulate,plan,emotion,cohesion,consensus,emotion,cohesion,coregulate,consensus,coregulate,,
emotion,cohesion,coregulate,cohesion,consensus,plan,consensus,emotion,discuss,discuss,discuss,consensus,discuss,consensus,plan,,,,,,,,,,,
consensus,coregulate,discuss,monitor,,,,,,,,,,,,,,,,,,,,,,
discuss,consensus,discuss,consensus,synthesis,consensus,plan,plan,plan,,,,,,,,,,,,,,,,,
monitor,plan,plan,plan,discuss,cohesion,consensus,,,,,,,,,,,,,,,,,,,
monitor,plan,consensus,plan,consensus,plan,emotion,emotion,consensus,plan,consensus,plan,emotion,,,,,,,,,,,,,
consensus,discuss,consensus,cohesion,consensus,plan,plan,plan,plan,plan,plan,consensus,coregulate,discuss,consensus,adapt,consensus,coregulate,discuss,synthesis,consensus,plan,consensus,coregulate,plan,
cohesion,synthesis,,,,,,,,,,,,,,,,,,,,,,,,
consensus,coregulate,monitor,plan,plan,monitor,plan,plan,,,,,,,,,,,,,,,,,,
cohesion,consensus,consensus,emotion,cohesion,emotion,plan,emotion,consensus,coregulate,discuss,consensus,coregulate,plan,plan,consensus,consensus,plan,consensus,emotion,cohesion,cohesion,consensus,monitor,discuss,
plan,cohesion,discuss,consensus,plan,monitor,discuss,synthesis,adapt,consensus,plan,plan,,,,,,,,,,,,,,
monitor,discuss,synthesis,consensus,discuss,discuss,consensus,emotion,cohesion,emotion,cohesion,consensus,discuss,,,,,,,,,,,,,
discuss,emotion,discuss,synthesis,adapt,emotion,consensus,plan,consensus,emotion,,,,,,,,,,,,,,,,
discuss,emotion,consensus,plan,plan,consensus,coregulate,emotion,cohesion,plan,plan,consensus,coregulate,plan,consensus,emotion,consensus,discuss,coregulate,,,,,,,
consensus,plan,consensus,emotion,discuss,discuss,emotion,consensus,coregulate,discuss,consensus,consensus,emotion,coregulate,plan,discuss,consensus,,,,,,,,,
monitor,coregulate,discuss,emotion,discuss,consensus,discuss,emotion,consensus,plan,consensus,emotion,monitor,,,,,,,,,,,,,
emotion,consensus,consensus,discuss,cohesion,coregulate,emotion,plan,emotion,consensus,emotion,consensus,plan,emotion,cohesion,plan,consensus,coregulate,cohesion,plan,monitor,plan,plan,plan,plan,
monitor,consensus,plan,,,,,,,,,,,,,,,,,,,,,,,
emotion,discuss,consensus,plan,plan,plan,emotion,discuss,emotion,cohesion,consensus,emotion,cohesion,consensus,emotion,consensus,discuss,consensus,discuss,discuss,,,,,,
emotion,discuss,emotion,emotion,,,,,,,,,,,,,,,,,,,,,,
consensus,emotion,discuss,consensus,plan,monitor,plan,emotion,cohesion,consensus,discuss,consensus,plan,consensus,plan,consensus,discuss,discuss,consensus,plan,plan,plan,plan,monitor,discuss,discuss
emotion,coregulate,monitor,cohesion,adapt,plan,consensus,plan,monitor,plan,plan,,,,,,,,,,,,,,,
consensus,plan,emotion,discuss,consensus,coregulate,plan,consensus,plan,emotion,plan,emotion,emotion,cohesion,emotion,consensus,plan,emotion,,,,,,,,
discuss,consensus,discuss,,,,,,,,,,,,,,,,,,,,,,,
consensus,coregulate,emotion,emotion,emotion,emotion,consensus,plan,plan,plan,consensus,plan,monitor,plan,plan,consensus,discuss,discuss,consensus,discuss,synthesis,consensus,discuss,,,
discuss,consensus,discuss,coregulate,emotion,consensus,plan,plan,plan,emotion,,,,,,,,,,,,,,,,
discuss,emotion,coregulate,emotion,coregulate,emotion,cohesion,plan,plan,emotion,cohesion,discuss,emotion,monitor,plan,monitor,discuss,discuss,cohesion,consensus,discuss,discuss,,,,
monitor,plan,monitor,emotion,plan,consensus,discuss,consensus,coregulate,plan,consensus,plan,,,,,,,,,,,,,,
consensus,plan,consensus,plan,emotion,consensus,consensus,plan,discuss,monitor,discuss,consensus,coregulate,plan,monitor,coregulate,plan,plan,monitor,discuss,emotion,,,,,
emotion,cohesion,plan,plan,plan,consensus,plan,consensus,discuss,consensus,plan,monitor,emotion,emotion,,,,,,,,,,,,
discuss,emotion,cohesion,plan,plan,monitor,monitor,discuss,monitor,discuss,consensus,plan,emotion,emotion,cohesion,emotion,discuss,emotion,cohesion,consensus,emotion,plan,plan,,,
consensus,coregulate,plan,emotion,cohesion,consensus,plan,monitor,cohesion,consensus,emotion,consensus,coregulate,emotion,,,,,,,,,,,,
emotion,cohesion,consensus,consensus,discuss,emotion,consensus,plan,plan,consensus,plan,plan,emotion,,,,,,,,,,,,,
cohesion,consensus,plan,consensus,adapt,consensus,,,,,,,,,,,,,,,,,,,,
consensus,plan,emotion,cohesion,,,,,,,,,,,,,,,,,,,,,,
consensus,coregulate,,,,,,,,,,,,,,,,,,,,,,,,
monitor,discuss,synthesis,consensus,emotion,emotion,,,,,,,,,,,,,,,,,,,,
plan,plan,consensus,plan,emotion,consensus,,,,,,,,,,,,,,,,,,,,
discuss,consensus,plan,plan,emotion,coregulate,plan,consensus,emotion,cohesion,consensus,emotion,consensus,,,,,,,,,,,,,
discuss,coregulate,emotion,consensus,consensus,monitor,discuss,discuss,consensus,plan,consensus,coregulate,emotion,emotion,discuss,cohesion,consensus,coregulate,monitor,consensus,plan,consensus,plan,discuss,consensus,plan
emotion,consensus,discuss,discuss,discuss,discuss,consensus,plan,consensus,plan,emotion,cohesion,consensus,discuss,coregulate,discuss,consensus,plan,consensus,emotion,cohesion,consensus,plan,consensus,discuss,consensus
plan,consensus,plan,plan,consensus,discuss,consensus,discuss,synthesis,consensus,coregulate,plan,plan,discuss,consensus,discuss,consensus,coregulate,discuss,adapt,cohesion,consensus,coregulate,emotion,plan,
emotion,discuss,consensus,plan,emotion,cohesion,consensus,coregulate,adapt,cohesion,plan,consensus,plan,discuss,consensus,discuss,cohesion,consensus,plan,,,,,,,
monitor,monitor,discuss,synthesis,consensus,emotion,consensus,plan,plan,discuss,consensus,monitor,discuss,synthesis,consensus,coregulate,consensus,discuss,consensus,,,,,,,
plan,monitor,consensus,,,,,,,,,,,,,,,,,,,,,,,
emotion,discuss,consensus,plan,plan,plan,plan,emotion,consensus,discuss,emotion,consensus,plan,plan,,,,,,,,,,,,
consensus,plan,plan,discuss,emotion,,,,,,,,,,,,,,,,,,,,,
synthesis,consensus,consensus,discuss,consensus,plan,consensus,plan,discuss,discuss,coregulate,consensus,cohesion,consensus,discuss,discuss,,,,,,,,,,
plan,plan,plan,plan,plan,plan,consensus,plan,discuss,emotion,monitor,discuss,emotion,consensus,emotion,cohesion,cohesion,consensus,discuss,,,,,,,
cohesion,emotion,emotion,cohesion,consensus,plan,cohesion,consensus,plan,consensus,plan,consensus,discuss,cohesion,consensus,plan,plan,emotion,emotion,cohesion,consensus,discuss,,,,
monitor,discuss,coregulate,consensus,coregulate,consensus,plan,discuss,consensus,discuss,emotion,emotion,,,,,,,,,,,,,,
plan,emotion,consensus,coregulate,consensus,plan,emotion,monitor,emotion,plan,consensus,discuss,synthesis,consensus,coregulate,emotion,plan,plan,emotion,consensus,discuss,,,,,
adapt,emotion,consensus,plan,plan,plan,consensus,synthesis,adapt,cohesion,consensus,plan,consensus,discuss,discuss,consensus,,,,,,,,,,
cohesion,consensus,coregulate,discuss,consensus,plan,cohesion,emotion,consensus,,,,,,,,,,,,,,,,,
cohesion,discuss,,,,,,,,,,,,,,,,,,,,,,,,
synthesis,plan,consensus,emotion,consensus,monitor,consensus,discuss,consensus,discuss,monitor,discuss,plan,consensus,plan,plan,plan,monitor,adapt,consensus,,,,,,
plan,cohesion,consensus,discuss,cohesion,cohesion,coregulate,plan,plan,emotion,cohesion,consensus,consensus,plan,plan,discuss,consensus,consensus,discuss,discuss,,,,,,
monitor,discuss,emotion,consensus,plan,emotion,consensus,plan,plan,,,,,,,,,,,,,,,,,
emotion,cohesion,coregulate,adapt,consensus,cohesion,consensus,plan,consensus,discuss,discuss,consensus,plan,emotion,monitor,cohesion,,,,,,,,,,
consensus,plan,plan,synthesis,adapt,,,,,,,,,,,,,,,,,,,,,
plan,consensus,discuss,coregulate,plan,emotion,cohesion,consensus,plan,plan,consensus,plan,discuss,discuss,consensus,emotion,consensus,plan,consensus,discuss,emotion,cohesion,consensus,coregulate,adapt,cohesion
consensus,adapt,cohesion,plan,consensus,coregulate,emotion,coregulate,discuss,,,,,,,,,,,,,,,,,
plan,consensus,plan,consensus,plan,consensus,consensus,coregulate,plan,monitor,plan,monitor,discuss,emotion,discuss,,,,,,,,,,,
plan,emotion,consensus,plan,plan,discuss,cohesion,consensus,discuss,consensus,consensus,,,,,,,,,,,,,,,
plan,emotion,cohesion,consensus,emotion,cohesion,coregulate,monitor,discuss,synthesis,emotion,consensus,coregulate,emotion,consensus,discuss,discuss,consensus,coregulate,consensus,plan,monitor,plan,plan,consensus,
discuss,cohesion,emotion,cohesion,discuss,consensus,coregulate,discuss,coregulate,monitor,discuss,cohesion,plan,plan,discuss,consensus,plan,consensus,coregulate,emotion,,,,,,
monitor,consensus,plan,plan,emotion,cohesion,consensus,discuss,discuss,consensus,plan,plan,cohesion,cohesion,plan,plan,monitor,consensus,plan,,,,,,,
monitor,plan,plan,plan,consensus,plan,discuss,consensus,discuss,discuss,emotion,cohesion,emotion,consensus,emotion,emotion,cohesion,plan,emotion,consensus,discuss,consensus,,,,
adapt,consensus,plan,consensus,discuss,,,,,,,,,,,,,,,,,,,,,
plan,consensus,plan,plan,emotion,consensus,coregulate,adapt,consensus,coregulate,discuss,consensus,plan,plan,consensus,plan,monitor,plan,plan,discuss,consensus,coregulate,discuss,coregulate,emotion,consensus
consensus,discuss,discuss,,,,,,,,,,,,,,,,,,,,,,,
adapt,consensus,emotion,discuss,synthesis,adapt,consensus,plan,plan,emotion,consensus,plan,consensus,adapt,consensus,plan,plan,plan,consensus,coregulate,plan,plan,,,,
cohesion,consensus,coregulate,plan,monitor,discuss,coregulate,,,,,,,,,,,,,,,,,,,
discuss,synthesis,consensus,plan,consensus,consensus,plan,plan,plan,consensus,,,,,,,,,,,,,,,,
plan,plan,plan,,,,,,,,,,,,,,,,,,,,,,,
consensus,discuss,consensus,discuss,consensus,plan,emotion,cohesion,consensus,discuss,coregulate,emotion,emotion,consensus,,,,,,,,,,,,
emotion,cohesion,plan,emotion,consensus,plan,consensus,discuss,emotion,plan,plan,plan,consensus,synthesis,consensus,,,,,,,,,,,
consensus,plan,plan,discuss,consensus,plan,plan,plan,plan,consensus,,,,,,,,,,,,,,,,
cohesion,consensus,discuss,monitor,discuss,emotion,emotion,consensus,plan,consensus,plan,coregulate,discuss,consensus,plan,emotion,consensus,plan,emotion,,,,,,,
emotion,cohesion,consensus,coregulate,monitor,discuss,,,,,,,,,,,,,,,,,,,,
plan,emotion,consensus,discuss,discuss,consensus,discuss,emotion,plan,plan,emotion,consensus,discuss,consensus,plan,plan,consensus,coregulate,discuss,emotion,cohesion,consensus,plan,plan,,
discuss,cohesion,coregulate,adapt,cohesion,coregulate,discuss,discuss,consensus,discuss,emotion,discuss,synthesis,consensus,discuss,,,,,,,,,,,
cohesion,adapt,emotion,consensus,plan,plan,consensus,plan,consensus,emotion,cohesion,consensus,plan,consensus,coregulate,monitor,emotion,emotion,emotion,consensus,plan,consensus,discuss,synthesis,consensus,
emotion,consensus,plan,consensus,coregulate,discuss,consensus,discuss,coregulate,emotion,cohesion,emotion,cohesion,plan,plan,,,,,,,,,,,
cohesion,plan,emotion,plan,plan,emotion,plan,consensus,plan,plan,plan,consensus,plan,cohesion,plan,consensus,consensus,plan,consensus,coregulate,discuss,emotion,cohesion,plan,plan,
discuss,discuss,discuss,consensus,discuss,consensus,plan,monitor,consensus,coregulate,emotion,cohesion,consensus,emotion,cohesion,consensus,coregulate,coregulate,discuss,discuss,emotion,,,,,
cohesion,consensus,coregulate,adapt,consensus,plan,monitor,discuss,cohesion,discuss,consensus,plan,emotion,emotion,adapt,consensus,,,,,,,,,,
discuss,consensus,coregulate,cohesion,emotion,cohesion,plan,monitor,discuss,discuss,discuss,synthesis,consensus,plan,consensus,plan,emotion,cohesion,emotion,,,,,,,
emotion,discuss,coregulate,plan,emotion,consensus,consensus,monitor,discuss,consensus,,,,,,,,,,,,,,,,
monitor,discuss,consensus,discuss,synthesis,adapt,consensus,,,,,,,,,,,,,,,,,,,
discuss,emotion,consensus,,,,,,,,,,,,,,,,,,,,,,,
plan,plan,plan,plan,consensus,plan,plan,emotion,emotion,emotion,consensus,plan,emotion,consensus,coregulate,plan,,,,,,,,,,
plan,plan,plan,monitor,plan,emotion,cohesion,,,,,,,,,,,,,,,,,,,
consensus,plan,consensus,coregulate,discuss,consensus,coregulate,plan,consensus,plan,monitor,discuss,monitor,discuss,consensus,discuss,consensus,coregulate,plan,cohesion,discuss,synthesis,consensus,,,
monitor,consensus,coregulate,cohesion,consensus,discuss,consensus,plan,coregulate,monitor,plan,discuss,discuss,consensus,plan,discuss,consensus,plan,plan,emotion,consensus,plan,,,,
plan,plan,consensus,consensus,emotion,consensus,plan,consensus,plan,plan,consensus,discuss,emotion,cohesion,consensus,plan,cohesion,consensus,,,,,,,,
consensus,discuss,consensus,coregulate,synthesis,emotion,cohesion,cohesion,consensus,monitor,discuss,consensus,emotion,cohesion,consensus,plan,consensus,discuss,discuss,,,,,,,
emotion,cohesion,emotion,cohesion,plan,cohesion,consensus,coregulate,plan,consensus,monitor,cohesion,consensus,discuss,emotion,cohesion,coregulate,consensus,discuss,coregulate,plan,consensus,,,,
emotion,cohesion,emotion,discuss,discuss,consensus,coregulate,discuss,consensus,discuss,consensus,plan,plan,,,,,,,,,,,,,
emotion,discuss,discuss,consensus,emotion,consensus,plan,emotion,cohesion,discuss,consensus,coregulate,discuss,discuss,consensus,monitor,discuss,,,,,,,,,
consensus,consensus,discuss,coregulate,emotion,cohesion,consensus,plan,emotion,consensus,coregulate,consensus,consensus,coregulate,plan,consensus,monitor,consensus,coregulate,monitor,consensus,,,,,
consensus,discuss,cohesion,plan,emotion,cohesion,consensus,emotion,consensus,coregulate,plan,plan,plan,emotion,plan,,,,,,,,,,,
discuss,discuss,consensus,emotion,consensus,plan,consensus,discuss,consensus,plan,discuss,,,,,,,,,,,,,,,
discuss,synthesis,consensus,coregulate,plan,consensus,plan,emotion,discuss,consensus,emotion,cohesion,consensus,coregulate,monitor,discuss,consensus,discuss,,,,,,,,
monitor,discuss,emotion,consensus,consensus,discuss,consensus,plan,consensus,emotion,consensus,coregulate,plan,plan,plan,plan,discuss,coregulate,monitor,,,,,,,
monitor,synthesis,plan,emotion,cohesion,emotion,consensus,coregulate,plan,consensus,,,,,,,,,,,,,,,,
discuss,emotion,consensus,plan,consensus,,,,,,,,,,,,,,,,,,,,,
consensus,coregulate,plan,plan,consensus,discuss,discuss,discuss,coregulate,emotion,cohesion,cohesion,coregulate,emotion,plan,consensus,coregulate,,,,,,,,,
